date,Trust_Score,Stringency_z,Newcase_z,Death_z,Stringency_lag,Trust_lag,Cases_lag,Death_lag,Policy_change,Gap_signed,Gap_abs
2020-07-10,-0.0485071058706314,0.3664126264195323,-0.777766869691323,-0.5721591539056508,0.7718585100736581,-0.1618844159656479,-0.7764635287743934,-0.5687805999068034,-0.4054458836541258,0.4149197322901637,0.4149197322901637
2020-07-11,-0.268284660824048,0.3664126264195323,-0.7773031016363902,-0.5721591539056508,0.7718585100736581,-0.0485071058706314,-0.7769432863310103,-0.5721591539056508,-0.4054458836541258,0.6346972872435803,0.6346972872435803
2020-07-12,-0.4683270883938925,0.3664126264195323,-0.7773031016363902,-0.574089749609356,0.7718585100736581,-0.268284660824048,-0.7773350863639238,-0.5721591539056508,-0.4054458836541258,0.8347397148134248,0.8347397148134248
2020-07-22,0.1381841419629563,0.3664126264195323,-0.7761996619274485,-0.6363516061726249,0.7718585100736581,-0.4683270883938925,-0.7783505733192998,-0.574089749609356,-0.4054458836541258,0.228228484456576,0.228228484456576
2020-07-23,-0.0859364711247067,0.3664126264195323,-0.7758678301580708,-0.6416607604821227,0.7718585100736581,0.1381841419629563,-0.777914793570507,-0.6363516061726249,-0.4054458836541258,0.452349097544239,0.452349097544239
2020-07-24,0.1847262177534025,0.3664126264195323,-0.7757119096199896,-0.6450393098740247,0.7718585100736581,-0.0859364711247067,-0.7779547730488826,-0.6416607604821227,-0.4054458836541258,0.1816864086661298,0.1816864086661298
2020-07-25,-0.0907303799749824,0.3664126264195323,-0.775328102429863,-0.637799564467767,0.7718585100736581,0.1847262177534025,-0.7780107458450525,-0.6450393098740247,-0.4054458836541258,0.4571430063945147,0.4571430063945147
2020-07-26,-0.320612650098671,0.3664126264195323,-0.7745604918657202,-0.6450393098740247,0.7718585100736581,-0.0907303799749824,-0.777766869691323,-0.637799564467767,-0.4054458836541258,0.6870252765182033,0.6870252765182033
2020-07-27,-0.6607445803837206,0.3664126264195323,-0.7744605403076986,-0.6489005104953257,0.7718585100736581,-0.320612650098671,-0.7773031016363902,-0.6450393098740247,-0.4054458836541258,1.027157206803253,1.027157206803253
2020-07-29,0.077522276748531,0.3664126264195323,-0.7738448529062159,-0.651313762035375,0.6633506908511152,-0.6607445803837206,-0.7773031016363902,-0.6489005104953257,-0.2969380644315829,0.2888903496710013,0.2888903496710013
2020-07-30,-0.1359696022296442,0.3664126264195323,-0.7735729913084289,-0.6537270112719519,0.6633506908511152,0.077522276748531,-0.7761996619274485,-0.651313762035375,-0.2969380644315829,0.5023822286491765,0.5023822286491765
2020-07-31,-0.5587050012982057,0.3664126264195323,-0.7725894881265588,-0.6566229140414002,0.6633506908511152,-0.1359696022296442,-0.7758678301580708,-0.6537270112719519,-0.2969380644315829,0.925117627717738,0.925117627717738
2020-08-01,-0.1165334919276413,0.690769333342833,-0.772037768272088,-0.6657932666687263,0.5554262470007367,-0.5587050012982057,-0.7757119096199896,-0.6566229140414002,0.13534308634209624,0.8073028252704743,0.8073028252704743
2020-08-02,-0.6607445803837206,0.690769333342833,-0.7723416145974084,-0.6600014657367749,0.5554262470007367,-0.1165334919276413,-0.775328102429863,-0.6657932666687263,0.13534308634209624,1.3515139137265537,1.3515139137265537
2020-08-05,0.071539457759386,0.690769333342833,-0.7714580610655047,-0.6662759155946526,0.5554262470007367,-0.6607445803837206,-0.7745604918657202,-0.6600014657367749,0.13534308634209624,0.619229875583447,0.619229875583447
2020-08-06,0.039687907208306,0.690769333342833,-0.7706184862954527,-0.6657932666687263,0.5554262470007367,0.071539457759386,-0.7744605403076986,-0.6662759155946526,0.13534308634209624,0.651081426134527,0.651081426134527
2020-08-07,0.028828154067864,0.690769333342833,-0.770502545235747,-0.673033012074984,0.5554262470007367,0.039687907208306,-0.7738448529062159,-0.6657932666687263,0.13534308634209624,0.661941179274969,0.661941179274969
