date,Death_Raw
2021-06-29,0.2765816
2021-06-30,0.28705814
2021-07-01,0.29963005
2021-07-02,0.3352504
2021-07-03,0.3331551
2021-07-04,0.35201293
2021-07-05,0.38134733
2021-07-06,0.39391923
2021-07-07,0.41277707
2021-07-08,0.43582553
2021-07-09,0.45468336
2021-07-10,0.48401776
2021-07-11,0.5301147
2021-07-12,0.55944914
2021-07-13,0.56992567
2021-07-14,0.60135543
2021-07-15,0.63278514
2021-07-16,0.65792894
2021-07-17,0.6830727
2021-07-18,0.6872633
2021-07-19,0.71659774
2021-07-20,0.79412436
2021-07-21,0.88841355
2021-07-22,0.9261292
2021-07-23,0.9533683
2021-07-24,1.0204184
2021-07-25,1.0790873
2021-07-26,1.0979451
2021-07-27,1.1000404
2021-07-28,1.0832778
2021-07-29,1.1000404
2021-07-30,1.1503279
2021-07-31,1.1545186
2021-08-01,1.2006155
2021-08-02,1.2488078
2021-08-03,1.2990953
2021-08-04,1.3263344
2021-08-05,1.3347157
2021-08-06,1.3514782
2021-08-07,1.3787173
2021-08-08,1.36405
2021-08-09,1.3954798
2021-08-10,1.3661454
2021-08-11,1.3493829
2021-08-12,1.3598595
2021-08-13,1.3514782
2021-08-14,1.3619548
2021-08-15,1.3619548
2021-08-16,1.3556688
2021-08-17,1.3724314
2021-08-18,1.3829079
2021-08-19,1.4185283
2021-08-20,1.4667205
2021-08-21,1.4855783
2021-08-22,1.5463425
2021-08-23,1.5735816
2021-08-24,1.6511083
2021-08-25,1.716063
2021-08-26,1.749588
2021-08-27,1.7391114
2021-08-28,1.7600646
2021-08-29,1.7852083
2021-08-30,1.822924
2021-08-31,1.8459725
2021-09-01,1.8208288
2021-09-02,1.8417819
2021-09-03,1.8815929
2021-09-04,1.9046414
2021-09-05,1.9297851
2021-09-06,1.9528337
2021-09-07,2.0031211
2021-09-08,2.1057916
2021-09-09,2.1833181
2021-09-10,2.2210338
2021-09-11,2.313228
2021-09-12,2.3111324
2021-09-13,2.3111324
2021-09-14,2.2650356
2021-09-15,2.1833181
2021-09-16,2.1937947
2021-09-17,2.2461777
2021-09-18,2.208462
2021-09-19,2.2797027
2021-09-20,2.2629402
2021-09-21,2.254559
2021-09-22,2.340467
2021-09-23,2.2755122
2021-09-24,2.254559
2021-09-25,2.22732
2021-09-26,2.1330307
2021-09-27,2.1120775
2021-09-28,2.0575993
2021-09-29,1.9905493
2021-09-30,1.9528337
2021-10-01,1.9172132
2021-10-02,1.875307
2021-10-03,1.875307
2021-10-04,1.8543538
2021-10-05,1.8438772
2021-10-06,1.8145428
2021-10-07,1.8438772
2021-10-08,1.7873037
2021-10-09,1.7956849
2021-10-10,1.7600646
2021-10-11,1.7684458
2021-10-12,1.7852083
2021-10-13,1.8375913
2021-10-14,1.8396866
2021-10-15,1.8878788
2021-10-16,1.9465476
2021-10-17,1.9842633
2021-10-18,2.0450275
2021-10-19,2.101601
2021-10-20,2.1036963
2021-10-21,2.1162682
2021-10-22,2.1518886
2021-10-23,2.1581745
2021-10-24,2.1791277
2021-10-25,2.2252245
2021-10-26,2.2797027
2021-10-27,2.3006558
2021-10-28,2.3760872
2021-10-29,2.4242795
2021-10-30,2.4976156
2021-10-31,2.5709515
2021-11-01,2.5562844
2021-11-02,2.614953
2021-11-03,2.700861
2021-11-04,2.673622
2021-11-05,2.6882892
2021-11-06,2.6254296
2021-11-07,2.5856187
2021-11-08,2.5960953
2021-11-09,2.5227592
2021-11-10,2.4619951
2021-11-11,2.4452326
2021-11-12,2.4117076
2021-11-13,2.3886592
2021-11-14,2.3446574
2021-11-15,2.3069417
2021-11-16,2.2524636
2021-11-17,2.2734168
2021-11-18,2.2922747
2021-11-19,2.2063668
2021-11-20,2.1497931
2021-11-21,2.1435072
2021-11-22,2.1246495
2021-11-23,2.0974104
2021-11-24,2.0135977
2021-11-25,1.9779774
2021-11-26,1.9695961
2021-11-27,1.9905493
2021-11-28,1.9695961
2021-11-29,1.9297851
2021-11-30,1.975882
2021-12-01,2.0031211
2021-12-02,1.9465476
2021-12-03,1.9779774
2021-12-04,1.9402617
2021-12-05,1.9716915
2021-12-06,2.0513134
2021-12-07,1.9968352
2021-12-08,1.9947399
2021-12-09,2.0135977
2021-12-10,2.0031211
2021-12-11,2.021979
2021-12-12,1.9695961
2021-12-13,1.8585445
2021-12-14,1.9004507
2021-12-15,1.835496
2021-12-16,1.875307
2021-12-17,1.8459725
2021-12-18,1.8166381
2021-12-19,1.835496
2021-12-20,1.8313054
2021-12-21,1.7852083
2021-12-22,1.8313054
2021-12-23,1.749588
2021-12-24,1.7852083
2021-12-25,1.8208288
2021-12-26,1.7914944
2021-12-27,1.7998756
2021-12-28,1.801971
2021-12-29,1.7998756
2021-12-30,1.9067366
2021-12-31,1.8983554
2022-01-01,1.9842633
2022-01-02,2.0638852
2022-01-03,2.2000809
2022-01-04,2.313228
2022-01-05,2.407517
2022-01-06,2.49552
2022-01-07,2.600286
2022-01-08,2.6966705
2022-01-09,2.8496284
2022-01-10,2.9313457
2022-01-11,3.0780177
2022-01-12,3.2163086
2022-01-13,3.2749774
2022-01-14,3.3944104
2022-01-15,3.438412
2022-01-16,3.4530792
2022-01-17,3.545273
2022-01-18,3.578798
2022-01-19,3.5536542
2022-01-20,3.5557497
2022-01-21,3.518034
2022-01-22,3.4300306
2022-01-23,3.4572697
2022-01-24,3.3839338
2022-01-25,3.3043118
2022-01-26,3.2980258
2022-01-27,3.2142131
2022-01-28,3.1618304
2022-01-29,3.2016413
2022-01-30,3.1052568
2022-01-31,3.0151584
2022-02-01,2.9564896
2022-02-02,2.9103925
2022-02-03,2.939727
2022-02-04,2.9229646
2022-02-05,2.8622003
2022-02-06,2.774197
2022-02-07,2.7553391
2022-02-08,2.6882892
2022-02-09,2.547903
2022-02-10,2.4452326
2022-02-11,2.3530388
2022-02-12,2.2126527
2022-02-13,2.1728418
2022-02-14,2.114173
2022-02-15,2.0492182
2022-02-16,2.0869339
2022-02-17,2.034551
2022-02-18,2.0115025
2022-02-19,2.0115025
2022-02-20,1.9842633
2022-02-21,1.9381664
2022-02-22,1.9381664
2022-02-23,1.8375913
2022-02-24,1.8103522
2022-02-25,1.7810178
2022-02-26,1.7873037
2022-02-27,1.7705412
2022-02-28,1.7307302
2022-03-01,1.7139677
2022-03-02,1.7034911
2022-03-03,1.6741567
2022-03-04,1.7307302
2022-03-05,1.6846333
2022-03-06,1.6678708
2022-03-07,1.6636801
2022-03-08,1.6133926
2022-03-09,1.6511083
2022-03-10,1.6783473
2022-03-11,1.5945348
2022-03-12,1.6133926
2022-03-13,1.6301551
2022-03-14,1.676252
2022-03-15,1.7118723
2022-03-16,1.749588
2022-03-17,1.755874
2022-03-18,1.8396866
2022-03-19,1.8857836
2022-03-20,1.9926445
2022-03-21,2.0806477
2022-03-22,2.2126527
2022-03-23,2.2587495
2022-03-24,2.3530388
2022-03-25,2.3781826
2022-03-26,2.441042
2022-03-27,2.4640903
2022-03-28,2.4578044
2022-03-29,2.426375
2022-03-30,2.4557092
2022-03-31,2.5164733
2022-04-01,2.5646656
2022-04-02,2.6191437
2022-04-03,2.6652408
2022-04-04,2.7281
2022-04-05,2.786769
2022-04-06,2.7909596
2022-04-07,2.8035314
2022-04-08,2.8349612
2022-04-09,2.9166784
2022-04-10,2.9879193
2022-04-11,2.9481082
2022-04-12,2.9669662
2022-04-13,2.979538
2022-04-14,2.973252
2022-04-15,3.0277302
2022-04-16,2.946013
2022-04-17,2.807722
2022-04-18,2.7888644
2022-04-19,2.7155282
2022-04-20,2.6924798
2022-04-21,2.6086671
2022-04-22,2.480853
2022-04-23,2.4179935
2022-04-24,2.382373
2022-04-25,2.3446574
2022-04-26,2.2797027
2022-04-27,2.1854136
2022-04-28,2.114173
2022-04-29,2.0596948
2022-04-30,1.9926445
2022-05-01,1.8941648
2022-05-02,1.8124475
2022-05-03,1.7747319
2022-05-04,1.7349209
2022-05-05,1.6972052
2022-05-06,1.602916
2022-05-07,1.5128175
2022-05-08,1.4918643
2022-05-09,1.4834831
2022-05-10,1.4248142
2022-05-11,1.3682407
2022-05-12,1.3556688
2022-05-13,1.3326204
2022-05-14,1.2949047
2022-05-15,1.2404265
2022-05-16,1.1628999
2022-05-17,1.1377561
2022-05-18,1.1021357
2022-05-19,1.0413716
2022-05-20,0.97222614
2022-05-21,0.92403394
2022-05-22,0.92403394
2022-05-23,0.88841355
2022-05-24,0.8590792
2022-05-25,0.8527932
2022-05-26,0.8087916
2022-05-27,0.78364784
2022-05-28,0.7815525
2022-05-29,0.724979
2022-05-30,0.6935493
2022-05-31,0.63278514
2022-06-01,0.60764134
2022-06-02,0.60764134
2022-06-03,0.5887835
2022-06-04,0.5929741
2022-06-05,0.5573538
2022-06-06,0.56573504
2022-06-07,0.56573504
2022-06-08,0.54897255
2022-06-09,0.5112569
2022-06-10,0.54897255
2022-06-11,0.50706625
2022-06-12,0.5405913
2022-06-13,0.52801937
2022-06-14,0.55525845
2022-06-15,0.5510678
2022-06-16,0.5573538
2022-06-17,0.5615444
2022-06-18,0.6244039
2022-06-19,0.6264992
2022-06-20,0.651643
2022-06-21,0.6600242
2022-06-22,0.67469144
