date,Newcase_Raw
2022-05-24,102.666245
2022-05-25,98.257706
2022-05-26,94.89053
2022-05-27,92.072334
2022-05-28,89.83663
2022-05-29,88.97336
2022-05-30,88.90841
2022-05-31,88.244194
2022-06-01,87.82932
2022-06-02,88.69678
2022-06-03,90.20122
2022-06-04,91.15668
2022-06-05,93.72553
2022-06-06,98.972206
2022-06-07,107.63633
2022-06-08,117.341835
2022-06-09,126.389404
2022-06-10,136.39034
2022-06-11,147.0974
2022-06-12,155.79086
2022-06-13,161.20724
2022-06-14,167.23756
2022-06-15,174.62355
2022-06-16,182.43907
2022-06-17,188.83607
2022-06-18,194.92506
2022-06-19,201.49388
2022-06-20,208.92386
2022-06-21,217.9421
2022-06-22,227.72722
2022-06-23,239.78575
2022-06-24,252.43307
2022-06-25,263.67444
2022-06-26,272.95877
2022-06-27,279.6156
2022-06-28,287.538
2022-06-29,298.354
2022-06-30,307.0391
2022-07-01,314.8504
2022-07-02,324.59363
2022-07-03,335.6988
2022-07-04,346.51273
2022-07-05,361.1841
2022-07-06,379.20383
2022-07-07,392.55936
2022-07-08,403.2392
2022-07-09,407.8782
2022-07-10,409.8918
2022-07-11,408.39365
2022-07-12,402.76984
2022-07-13,394.6442
2022-07-14,385.28024
2022-07-15,373.0394
2022-07-16,361.8211
2022-07-17,348.7212
2022-07-18,335.66946
2022-07-19,319.2003
2022-07-20,295.92554
2022-07-21,274.39407
2022-07-22,258.28738
2022-07-23,243.74171
2022-07-24,231.20963
2022-07-25,220.55914
2022-07-26,208.06897
2022-07-27,196.71446
2022-07-28,186.35313
2022-07-29,174.56699
2022-07-30,164.4487
2022-07-31,156.33983
2022-08-01,150.87315
2022-08-02,144.90361
2022-08-03,137.64543
2022-08-04,132.2919
2022-08-05,127.70107
2022-08-06,123.44129
2022-08-07,119.33447
2022-08-08,115.3429
2022-08-09,111.40581
2022-08-10,107.703384
2022-08-11,103.804
2022-08-12,100.44102
2022-08-13,98.12989
2022-08-14,95.59665
2022-08-15,93.658485
2022-08-16,91.177635
2022-08-17,87.73293
2022-08-18,84.06613
2022-08-19,80.47057
2022-08-20,77.057304
2022-08-21,74.276825
2022-08-22,72.196175
2022-08-23,69.518364
2022-08-24,67.00398
2022-08-25,65.367546
2022-08-26,64.36598
2022-08-27,62.75678
2022-08-28,61.58131
2022-08-29,60.764137
2022-08-30,59.41056
2022-08-31,58.232994
2022-09-01,59.171696
2022-09-02,59.301605
2022-09-03,60.46241
2022-09-04,61.210438
2022-09-05,61.84951
2022-09-06,63.62843
2022-09-07,64.598564
2022-09-08,63.2408
2022-09-09,62.442482
2022-09-10,61.17901
2022-09-11,60.644703
2022-09-12,60.3325
2022-09-13,60.456123
2022-09-14,60.839565
2022-09-15,62.033897
2022-09-16,63.58024
2022-09-17,65.43878
2022-09-18,66.65616
2022-09-19,67.18628
2022-09-20,67.16951
2022-09-21,68.96729
2022-09-22,74.58274
2022-09-23,79.98865
2022-09-24,84.55853
2022-09-25,89.48462
2022-09-26,94.09012
